recorded at,gps at,latitude,longitude,altitude,quality
2020-04-27 02:56:59.369000+00:00,2020-04-27T02:56:59.000Z,37.916791499999995,-85.656335333,212.1,3
2020-04-27 03:11:59.623000+00:00,2020-04-27T03:12:00.000Z,37.916823833,-85.65654,176.7,3
2020-04-27 03:26:59.768000+00:00,2020-04-27T03:27:00.000Z,37.916632166999996,-85.656410833,149.2,3
2020-04-27 03:41:59.996000+00:00,2020-04-27T03:42:00.000Z,37.916646500000006,-85.6565635,149.6,3
2020-04-27 03:57:00.590000+00:00,2020-04-27T03:57:00.000Z,37.916780167,-85.656467333,179.5,3
2020-04-27 04:12:00.756000+00:00,2020-04-27T04:12:01.000Z,37.916703333,-85.6564255,166.4,3
2020-04-27 04:27:01.037000+00:00,2020-04-27T04:27:01.000Z,37.916691,-85.656411167,175.2,3
2020-04-27 04:42:01.551000+00:00,2020-04-27T04:42:01.000Z,37.916731667,-85.656466667,176.0,3
2020-04-27 04:57:01.726000+00:00,2020-04-27T04:57:02.000Z,37.916706667,-85.656360333,170.1,3
2020-04-27 05:12:01.814000+00:00,2020-04-27T05:12:02.000Z,37.916746833000005,-85.656368833,189.3,3
2020-04-27 05:27:02.143000+00:00,2020-04-27T05:27:02.000Z,37.916648833,-85.656482,172.4,3
2020-04-27 05:42:02.629000+00:00,2020-04-27T05:42:02.000Z,37.916688167,-85.656497833,181.3,3
2020-04-27 05:57:02.727000+00:00,2020-04-27T05:57:03.000Z,37.916776833,-85.656487333,171.3,3
2020-04-27 06:12:02.785000+00:00,2020-04-27T06:12:03.000Z,37.916672667,-85.656373,182.4,3
2020-04-27 06:27:03.034000+00:00,2020-04-27T06:27:03.000Z,37.916649,-85.656503667,165.0,3
2020-04-27 06:42:03.488000+00:00,2020-04-27T06:42:03.000Z,37.916693167,-85.656356,189.6,3
2020-04-27 06:57:03.736000+00:00,2020-04-27T06:57:04.000Z,37.9166605,-85.6564675,174.9,3
2020-04-27 07:12:03.814000+00:00,2020-04-27T07:12:04.000Z,37.9166325,-85.656429,173.0,3
2020-04-27 07:27:04.051000+00:00,2020-04-27T07:27:04.000Z,37.916699167,-85.656529,167.7,3
2020-04-27 07:42:04.467000+00:00,2020-04-27T07:42:04.000Z,37.9167555,-85.656380667,175.8,3
2020-04-27 07:57:04.820000+00:00,2020-04-27T07:57:05.000Z,37.9167075,-85.65643299999999,176.1,3
2020-04-27 08:12:04.945000+00:00,2020-04-27T08:12:05.000Z,37.916682666999996,-85.656506667,169.0,3
2020-04-27 08:27:05.459000+00:00,2020-04-27T08:27:05.000Z,37.916763833000005,-85.65644449999999,183.3,3
2020-04-27 08:42:05.690000+00:00,2020-04-27T08:42:05.000Z,37.916750833,-85.656549667,173.1,3
2020-04-27 08:57:05.829000+00:00,2020-04-27T08:57:06.000Z,37.916728667,-85.656479833,175.1,3
2020-04-27 09:12:06.017000+00:00,2020-04-27T09:12:06.000Z,37.9167135,-85.656299,180.1,3
2020-04-27 09:27:06.677000+00:00,2020-04-27T09:27:06.000Z,37.916755,-85.656508667,182.9,3
2020-04-27 09:42:06.714000+00:00,2020-04-27T09:42:07.000Z,37.916743833000005,-85.656447833,178.9,3
2020-04-27 09:57:06.904000+00:00,2020-04-27T09:57:07.000Z,37.9167705,-85.6564895,188.6,3
2020-04-27 10:12:07.246000+00:00,2020-04-27T10:12:07.000Z,37.916756833,-85.656565333,183.4,3
2020-04-27 10:27:07.656000+00:00,2020-04-27T10:27:08.000Z,37.916655833,-85.656486167,180.1,3
2020-04-27 10:42:07.717000+00:00,2020-04-27T10:42:08.000Z,37.916688,-85.656469,172.1,3
2020-04-27 10:57:07.936000+00:00,2020-04-27T10:57:08.000Z,37.916728333,-85.6565335,168.7,3
2020-04-27 11:12:08.463000+00:00,2020-04-27T11:12:08.000Z,37.916697667,-85.6565545,164.1,3
2020-04-27 11:27:08.645000+00:00,2020-04-27T11:27:09.000Z,37.916720167,-85.6563485,178.5,3
2020-04-27 11:42:08.771000+00:00,2020-04-27T11:42:09.000Z,37.916697333,-85.656414833,181.3,3
2020-04-27 11:57:09.189000+00:00,2020-04-27T11:57:09.000Z,37.916751167,-85.656531167,180.8,3
